classification,reason_for_recall,product_description,recall_number
Class I,Presence of Particulate Matter: Silicone,"8.4% Sodium Bicarbonate Injection, USP, 50 mEq/50 mL (1mEq/mL), a) 20x50 mL Single Dose Vials (Vial NDC 51754-5001-1; Carton NDC 51754-5001-5) and b) 25x50 mL Single Dose Vials (Vial NDC 51754-5001-1; Carton NDC 51754-5001-4), For Intravenous Use Only, RX Only, Manufactured and Distributed by: Exela Pharma Sciences, LLC, Lenoir, NC 28645; ALSO LABELED 8.4% Sodium Bicarbonate Injection, USP, 50 mEq/50 mL (1mEq/mL), c) 20x50 mL Single Dose Vials, (Vial NDC 72572-740-01; Carton NDC 72572-740-20), Rx Only, Mfd for: Civica, Inc., Lehi, Utah, 84043, Mfd by: Exela Pharma Sciences, LLC, Lenoir, NC 28645.",D-0116-2024
Class I,Product mix-up: incorrect product was found inside the G-Supress DX product carton.,"G-Supress DX (Dextromethorphan HBr, Guaifenesin, Phenylephrine HCl) Pediatric Drops Cough Suppressant Expectorant Nasal Decongestant, Cherry Flavor Sugar & Alcohol Free, packaged in a bottle Net Content: 30 mL (1 oz.) further packaged in a carton, Manufactured in the USA for Kramer Novis, San Juan, PR 00917, NDC 52083-655-01",D-0868-2023
Class I,"Microbial Contamination of Non-Sterile Products:Product is being recalled to climatic Zone IV regions of the world where at the labeled storage conditions of 30*C/75% Relative Humidity for more than 6 months, there is the potential for growth of Aspergillus penicillioides, a type of fungus, resulting in a breach of the package integrity.","ChloraPrep With Tint 2% w/v chlorhexidine gluconate (CHG) and 70% v/v isopropyl alcohol (IPA) Non-Sterile Solution - Hi-Lite Orange, 0.10 fl. oz. (3 ml) each, 25 applicators in carton, CareFusion El Paso, TX 79912, NDC 054365-400-11 Cat. No. 260415",D-0266-2021
Class I,Sub-potent Drug; powder discoloration associated with decreased potency,"Javygtor (sapropterin dihydrochloride) Powder for Oral Solution 100mg, 30 individual packets per carton, Rx Only, Distributor: Dr. Reddy's Laboratories Inc., Princeton, NJ 08540 Made in India, NDC 43598-097-30.",D-0485-2024
Class I,"Marketed Without An Approved NDA/ANDA: Product found to be tainted with undeclared tadalafil sildenafil, and vardenafil, FDA approved drugs making them an unapproved drug for which the safety and efficacy have not been established and therefore subject to recall.","Thumbs Up 7 White 11K capsule, packaged in a) 1-count blister card and b) 10-count box, Nuri Trading LLC",D-0687-2021
Class I,Microbial contamination,"Dr. King's SafeCare Rx Alcoholism Mind & Body, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Drive, Asheville, NC 28806 USA, UPC 357955302025, NDC 57955-3021-2",D-0747-2019
Class I,"Presence of Particulate Matter: Complaint received of a glass particle observed inside the vial. The vial was returned to Teva for further analysis where two other particulates were found and identified as one (1) grey silicone particle and one (1) translucent, colorless cotton fiber.","Topotecan Injection 4 mg/4mL (1 mg/mL), Single-Dose vial, Teva Pharmaceuticals USA, Inc. North Whales, PA 19454, Carton NDC# 0703-4714-01, Vial NDC# 0703-4714-71",D-0661-2021
Class I,Microbial contamination,"NET Remedies #2 Homeopathic Preparation, Oral Liquid, 57 mL, Manufacturer: King Bio Inc. U.S.A., Supplier: NET (Australia) Pty LTD 428 Hume Street, Toowoomba QLD 4350, Australia",D-0930-2019
Class I,Presence of Particulate Matter,"Cytarabine Injection 100 mg/5 mL (20 mg/mL), 5 mL Single-Dose Vial (NDC 0069-0152-01), packaged in 10 x 5 mL Vials per carton (NDC 0069-0152-02), Rx only, Distributed by Pfizer Labs, Division of Pfizer Inc., New York, NY  10017.",D-1329-2015
Class I,Presence of Particulate Matter:  Foreign matter identified as glass detected in Vecuronium Bromide for Injection.,"Vecuronium Bromide for Injection 10 mg*, *1mg/mL when reconstituted to 10 mL Lyophilized, 10 x 10 mg vials, Rx only, Manufactured by: Sun Pharmaceutical Industries Ltd. Halol-Baroda Highway Halol-389 350, Gujarat, India. Distributed by: Sun Pharmaceutical Industries, Inc. Cranbury, NJ 08512  NDC 47335-931-40 [vial] NDC 47335-931-44 [carton]",D-0372-2019
Class I,"Non-Sterility: One confirmed customer report that product contained spore-like particulates, consistent with mold.","Lactated Ringer's and 5% Dextrose Injection, USP, 1000 mL flexible containers, Rx only, Hospira, Inc., Lake Forest, IL 60045, NDC 0409-7929-09.",D-263-2013
Class I,"Presence of Particulate Matter: Product complaints received of grey flecks, identified as shredded rubber particulate matter from the stopper observed in reconstituted vials.","Ceftriaxone for Injection USP, 500 mg, packaged in a) one Single Use Vial (NDC 68180-622-01) and b) 10 Single Use Vials per box (NDC 68180-622-10); Rx only, Manufactured for: Lupin Pharmaceuticals, Inc., 111 South Calvert Street, Baltimore, Maryland  21202; Manufactured by: Lupin Limited, Mandideep 462 046 INDIA.",D-0356-2019
Class I,Microbial Contamination of a Non-sterile Product: The product was found to be contaminated with Cohnella bacteria.,"Atovaquone Oral Suspension, USP 750 mg/5 mL, 210 mL bottle, Rx only, Distributed by: Bionpharma Inc., Princeton, NJ 08540, NDC # 69452-252-87.",D-0012-2025
Class II,Lack of Assurance of Sterility:  A recall of all compounded sterile preparations within expiry is being initiated due to observations associated with poor sterile production practices resulting in a lack of sterility assurance for their finished drugs.,"Progesterone 100 mg/mL in Corn Oil Injection, 2 mL vials, Rx only, Essential Wellness PHARMACY, 4625 N. University, Peoria, IL 61614.",D-321-2016
Class II,CGMP Deviations: Next Advanced Antibacterial Hand Sanitizer was found to be below the label claim for ethanol content and contained methanol. Other products were recalled because they were manufactured in the same facility as the product found to contain methanol.,"Assured Instant Hand Sanitizer Aloe & Moisturizers (Ethyl Alcohol 70% v/v) 8 fl oz / 237 mL bottle, Distributed By: Greenbrier International, Inc. 500 Volvo Parkway, Chesapeake, VA 23320. Made in Mexico.UPC 639277928610",D-0080-2021
Class II,Lack of Assurance of Sterility,"Semaglutide Injection, 10 mg/4 mL (2.5 mg/mL), 4mL Multidose Vial, For Subcutaneous Use, Rx Only, Mfd by: ProRx, 619 Jeffers Cir, Exton, PA 19341.  NDC:  84139-225-04",D-0115-2026
Class II,Some bottles may contain mixed strengths of the product.,"Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate and Amphetamine Sulfate Tablets ( Mixed Amphetamine Salts Product), 5 mg, 100 count bottles, Rx Only, Teva Pharmaceuticals USA, INC. North Wales, PA 19454, NDC 0555-0971-02",D-1285-2020
Class II,CGMP Deviations: Products were manufactured with contaminated excipient that was recalled from the excipient supplier.,"No Drip Nasal Spray, Oxymetazoline HCl 0.05% Nasal Decongestant, 1 FL Oz (30 mL) per bottle, Distributed by SUPERVALU INC., Eden Prairie, MN 55344 USA. NDC 41163-703-10",D-0623-2022
Class II,Presence of Particulate Matter: API contaminated with glass particulate was used to produce sterile injectable drugs.,"2 mcg/mL Fentanyl Citrate and 0.16% Bupivacaine HCl (Preservative Free) in 0.9% Sodium Chloride,	 100 mL in 150 mL Baxter Intravia Bag, Service Code 2K8102, Rx Only,  Compounded by PharMEDium Services, LLC, Memphis, TN 36141, NDC 61553-102-48",D-1398-2016
Class II,CGMP deviations,"Little Moon Essentials, Crampy Belly Rub (Camphor 1.1%), Packaged as a) 4 FL OZ (118ML) glass jar, UPC Code 6 73673 88260 2, NDC 70722-260-04; b) 2 FL OZ (59ML) glass jar, UPC Code 6 73673 88204 6, NDC 70722-260-02, Little Moon Essentials LLC Dania Beach, Fl 33004",D-0572-2024
Class II,Lack of Assurance of Sterility,"Trimix QM10 Papaverine 30 mg/Phentolamine 4 mg/Atropine 1 mg/PGE 150 mcg/mL Injectable, Pharm D Solutions, Houston, Texas --- NDC 69699-1352-05",D-0194-2019
Class II,Temperature abuse: Certain vials of Ifosfamide IV products were not refrigerated at certain Amerisource Bergen Drug Corp distribution centers.,"Ifosfamide Injection 3g/60 mL, Single dose vial, Rx only, Sterile, For Intravenous Use, Refrigerate at 2-8 degrees celcius, Distributed by Pfizer Labs, Division of Pfizer Inc., New York, NY 10017, NDC 0069-4496-22",D-1066-2013
Class II,"Labeling; Label Mix up; cartons labeled as Amantadine HCl 100 mg Capsules contain unit dose blister cards of Cyclobenzaprine HCl Tablet, USP 5 mg","Amantadine HCl Capsules, USP, 100 mg, Rx Only,  50 Capsules (5x10) Unit Dose Cartons, Manufactured for: AvKARE Inc, Pulaski, TN 38478 --- NDC: 50268-0069-15",D-1035-2017
Class II,CGMP Deviations: Intermittent exposure to temperature excursion during storage.,"Edarbi (azilsartan medoxomil) tablets 80 mg 30 Tablets Rx Only NDC 60631-080-30 Manufactured for: arbor Pharmaceuticals Atlanta, GA 30328",D-0429-2021
Class II,Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility,"HCG 1,100 IU/ml Injection, Multi-Dose Vial, Sterile, Refrigerate The Compounding Pharmacy of America, Knoxville, TN",D-1519-2015
Class II,"Presence of Foreign Substance; heavy metals (chromium, titanium etc) and inactive components of the product were visually observed during routine stability testing","Carisoprodol Tablets, USP 350 mg, Rx Only, 1000 tablets.  Dist by: West-ward Pharmaceutical Corp. Eatontown, NJ 07724. Mfd by: Shasun Chemicals and Drugs Limited, Unit II, R. S. Na 32, 33, 743 PIMS Rd, Periyakalepet, Pondicherry. 605014 INDIA. NDC 0143-9749-10.",D-367-2014
Class II,CGMP Deviations: Products were exposed to temperatures outside of the products labeled storage conditions.,"Enoxaparin Sodium Injection, USP, 150MG/ML Single-Dose Syringes with Automatic Safety Device, For Subcutaneous Injection, Ten 1 mL Syringes per box, Rx Only, Sandoz Inc, Princeton, NJ 08540.  NDC: 0781-3299-69",D-0179-2024
Class II,Labeling: Incorrect or Missing Lot and/or Exp Date: Beyond Use Date (BUD) exceed the BUD/EXP of at least one ingredient used to make final product.,"Human Chorionic Gonadotropin 6,000 iu/Vial, For SC Use -Lyophilized, Rx Only, KRS Global Biotechnology, 791 Park of Commerce Blvd, Boca Raton, FL 33487.",D-0176-2018
Class II,Lack of sterility assurance,"HYDROMORPHONE (a) 1MG/ML IN NS,  50ML, 75 ML, 100ML, 175ML(NDC 00703-0018-01 and NDC 00409-2634-50) ; (b) 5MG/ML IN NS 60ML, 100ML, 250ML; pain, Rx only, used with a Curlin pump or no pump, Sentara Home Infusion Pharmacy Services, 535 Independence Pkwy, Ste 300, Chesapeake, VA 23320, NDC# 00409-2634-50",D-0296-2023
Class II,Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility,"Testosterone 20 mg, Sterile Pellet, The Compounding Pharmacy of America, Knoxville, TN",D-1744-2015
Class II,"Labeling: Label Mixup; FAMOTIDINE Tablet, 20 mg may be potentially mislabeled as    CARVEDILOL PHOSPHATE ER, Capsule, 20 mg, NDC 00007337113, Pedigree: W003225, EXP: 6/17/2014;  DULoxetine HCl DR, Capsule, 20 mg, NDC 00002323560, Pedigree: W003506, EXP: 6/21/2014;  FAMOTIDINE, Tablet, 20 mg, NDC 16714036104, Pedigree: W003507, EXP: 6/21/2014;  MYCOPHENOLATE MOFETIL, Capsule, 250 mg, NDC 0037822500","FAMOTIDINE Tablet, 20 mg, Over The Counter, Distributed by: AidaPak Service, LLC, NDC 16714036104",D-518-2014
Class II,"Marketed Without An Approved NDA/ANDA: Flawless Beauty, LLC is voluntarily recalling all lots of different products sold individually or as part of multi-unit kits in accordance with Consent Decree of Permanent Injunction ordered by the United States District Court due to misbranding and unapproved new drugs pursuant to the FD&C Act.",Ling Zhi capsules,D-0333-2018
Class II,CGMP Deviations: Repackaging firm recalling due to potential product cross contamination concerns at the manufacturer.,"Alprazolam C-IV, 1 mg, packaged in a) 30 Tabs per bottle, NDC 72189-213-30; b) 60 Tabs per bottle, NDC 72189-213-60; Rx only, Packaged and Distributed By: Direct Rx Dawsonville, GA 30534.",D-0508-2023
Class II,CGMP Deviations: potential N-Nitrosodimethylamine (NDMA) amounts above levels established by the FDA.,"Nizatidine Oral Solution, 15 mg/mL (75 mg/5mL) USP 480 mL bottles, Rx Only Distributed by: Gemini Laboratories, LLC Bridgewater, NJ 08807 NDC 60846-301-15",D-1253-2020
Class II,Defective container: products are packaged in pouches which may not have been fully sealed,"Excedrin Migraine (Acetaminophen 250 mg, Aspirin (NSAID) 250 mg and Caffeine 65 mg), a) 2-count tablets packaged in pouches, Distributed by Novartis Consumer Health, Inc., Parsippany, NJ, NDC 0067 203 702     Foreign packaging: b) Excedrin Migrana (Acetaminophen 250 mg, Aspirin 250 mg and 65 mg Caffeine) 2-ct pouches.  The foreign packaging do not have NDC numbers",D-844-2013
Class II,Penicillin Cross Contamination: All lots of all products repackaged and distributed between 01/05/12 and 02/12/15 are being recalled because they were repackaged in a facility with penicillin products without adequate separation which could introduce the potential for cross contamination with penicillin.,"Homatropine Methylbromide active pharmaceutical ingredient packaged in varying grams or kg in bags or drums, Attix Pharmaceuticals, 184 Front Street East, Unit 801, Toronto, Ontario M5A 4N3, Canada",D-707-2015
Class II,Lack of Sterility Assurance.,"Human Chorionic Gonadotropin 5,000 IU vials, Rx only, Pharm D. Solutions 1304 South Loop West, Houston, TX 77054, 1-844-263-6846",D-1325-2019
Class II,Lack of Assurance of Sterility: FDA inspection found the recalled products were produced in a manner than cannot guarantee the sterility of the products purported to be sterile.,"MEDROXYPROGESTERONE ACETATE 300 MG/ML Suspension, 10 mL vial, Rx only, Vital Care Compounder, 115 S. 40th Ave., Hattiesburg, MS  39402",D-0037-2023
Class II,CGMP DEVIATIONS,"Unguentine Original Maximum Strength Pain Relieving/Antiseptic Ointment (Camphor 3.0%, Phenol 2.5%, Tannic Acid 2.2%, Oxide 6.6%), packaged in 1 oz. (28.3g) metal tubes, Distributed by: Oakhurst Company Levittown, NY 11756",D-0452-2023
Class II,Penicillin Cross Contamination: All lots of all products repackaged and distributed between 01/05/12 and 02/12/15 are being recalled because they were repackaged in a facility with penicillin products without adequate separation which could introduce the potential for cross contamination with penicillin.,"Methyl Folate Calcium active pharmaceutical ingredient packaged in varying grams or kg in bags or drums, Attix Pharmaceuticals, 184 Front Street East, Unit 801, Toronto, Ontario M5A 4N3, Canada",D-790-2015
Class II,Lack of Assurance of Sterility: Media fill with bacterial contamination,"Haloperidol Decanoate Injection 50mg/mL, 1mL Single-Dose Vial, Rx Only, Manufactured by: Somerset Therapeutics Limited, Kamataka India, Manufactured for: BluePoint Laboratories NDC 68001-580-41",D-0356-2025
Class II,Lack of Assurance of Sterility,"Polyoxyl Lauryl Ether (Polidocanol) Injection, LAURETH-9 (POLIDOCANOL) 5% INJECTABLE, For IV Use, 30 mL Multi-dose Vial, Rx only, Axia Pharmaceutical 1990 Westwood Blvd. Ste 135, Los Angeles, CA 90025; NDC 71283-060-3",D-0960-2020
Class II,CGMP Deviations: impurity for N-Nitroso-N-methyl-4-aminobutyric acid (NMBA) detected in the active pharmaceutical ingredient (API) used to manufacture finished products.,"LOSARTAN POTASSIUM 50 mg TABLET BULK  90 count bottles and 1000 count bottles, NDC 00591-3746-00",D-1455-2019
Class II,Labeling: Incorrect or Missing Lot and/or Exp Date: Beyond Use Date (BUD) exceed the BUD/EXP of at least one ingredient used to make final product.,"Benzocaine 20%, Lidocaine 6%, Tetracaine 4% Cream packaged in jars, Rx Only, KRS Global Biotechnology, 791 Park of Commerce Blvd, Boca Raton, FL 33487.",D-0165-2018
Class II,CGMP Deviations: Product was stored outside labeled storage temperature requirements. Product was exposed to controlled room temperature environment instead of remaining refrigerated.,"CABTREO (clindamycin phosphate, adapalene and benzoyl peroxide) Topical Gel 1.2%/0.15%/3.1%, Not for Oral, Ophthalmic or Intravaginal Use, Rx Only, Net Wt. 50g, Distributed by Bausch Health US, LLC Bridgewater, NJ 08807 USA, Manufactured by: Bausch Health Companies, Inc. Laval Quebec H7L 448, Canada, NDC 0187-0006-25.",D-0347-2024
Class II,Lack of sterility assurance.,"Glycopyrrolate in all strengths, all doses, and all packaging.",D-0454-2018
Class II,Lack of Assurance of Sterility; product has the potential to leak.,"PHENYLephrine 40 mg in 0.9% Sodium Chloride 250 mL, Rx only, SCA Pharmaceuticals 8821 Knoedl Ct Little Rock, AR 72205 --- NDC# 70004-0812-40",D-1027-2017
Class II,CGMP Deviations: Intermittent exposure to temperature excursion during storage.,"xigduo XR (dapgliflozin/metformin HCl extended-release) tablets 10 mg/1000 mg 30 Tablets Rx only NDC 0310-6280-30 Manufactured for: AstraZeneca Pharmaceuticals LP Wilmington, DE 19850  Manufactured by: Bristol-Myers Squibb Manufacturing Company Humacao, Puerto Rico 00791",D-0435-2021
